timestamp,datastream_id,value
2013-03-17 19:12:43+00,mains_t03-1,337.88
2013-03-17 19:12:44+00,mains_t03-1,339.43
2013-03-17 19:13:05+00,mains_t03-1,342.73
2013-03-17 19:13:06+00,mains_t03-1,339.35
2013-03-17 19:13:59+00,mains_t03-1,342.14
2013-03-17 19:14:00+00,mains_t03-1,338.26
2013-03-17 19:16:32+00,mains_t03-1,339.19
2013-03-17 19:18:27+00,mains_t03-1,339.23
2013-03-17 19:20:23+00,mains_t03-1,337.89
2013-03-17 19:21:23+00,mains_t03-1,341.96
2013-03-17 19:22:00+00,mains_t03-1,343.93
2013-03-17 19:22:06+00,mains_t03-1,345.46
2013-03-17 19:22:32+00,mains_t03-1,340.59
2013-03-17 19:23:16+00,mains_t03-1,339.16
2013-03-17 19:23:17+00,mains_t03-1,324.19
2013-03-17 19:23:36+00,mains_t03-1,319.55
2013-03-17 19:23:37+00,mains_t03-1,360.04
2013-03-17 19:23:38+00,mains_t03-1,367.59
2013-03-17 19:24:07+00,mains_t03-1,368.23
2013-03-17 19:24:08+00,mains_t03-1,372.34
2013-03-17 19:24:09+00,mains_t03-1,376.84
2013-03-17 19:24:10+00,mains_t03-1,379.56
2013-03-17 19:24:11+00,mains_t03-1,375.2
2013-03-17 19:24:17+00,mains_t03-1,327.62
2013-03-17 19:24:18+00,mains_t03-1,324.56
2013-03-17 19:24:25+00,mains_t03-1,339.89
2013-03-17 19:24:52+00,mains_t03-1,383.48
2013-03-17 19:24:53+00,mains_t03-1,541.85
2013-03-17 19:24:54+00,mains_t03-1,560.22
2013-03-17 19:25:00+00,mains_t03-1,542.32
2013-03-17 19:25:10+00,mains_t03-1,433.3
2013-03-17 19:25:11+00,mains_t03-1,339.78
2013-03-17 19:26:32+00,mains_t03-1,339.86
2013-03-17 19:26:43+00,mains_t03-1,342.7
2013-03-17 19:27:22+00,mains_t03-1,337.84
2013-03-17 19:27:23+00,mains_t03-1,335.79
2013-03-17 19:27:25+00,mains_t03-1,338.84
2013-03-17 19:27:55+00,mains_t03-1,336.6
2013-03-17 19:28:06+00,mains_t03-1,335.86
2013-03-17 19:28:22+00,mains_t03-1,335.55
2013-03-17 19:29:05+00,mains_t03-1,337.24
2013-03-17 19:29:28+00,mains_t03-1,339.41
2013-03-17 19:29:30+00,mains_t03-1,337.27
2013-03-17 19:29:32+00,mains_t03-1,339
2013-03-17 19:29:34+00,mains_t03-1,336.78
2013-03-17 19:29:36+00,mains_t03-1,339.36
2013-03-17 19:29:37+00,mains_t03-1,338.06
2013-03-17 19:29:39+00,mains_t03-1,339.33
2013-03-17 19:29:40+00,mains_t03-1,337.01
2013-03-17 19:29:43+00,mains_t03-1,339.67
2013-03-17 19:29:44+00,mains_t03-1,337.76
2013-03-17 19:29:45+00,mains_t03-1,336.87
2013-03-17 19:29:46+00,mains_t03-1,338.21
2013-03-17 19:29:47+00,mains_t03-1,339.04
2013-03-17 19:29:48+00,mains_t03-1,337.04
2013-03-17 19:29:50+00,mains_t03-1,339.07
2013-03-17 19:29:54+00,mains_t03-1,339.01
2013-03-17 19:29:57+00,mains_t03-1,338.95
2013-03-17 19:29:59+00,mains_t03-1,337.13
2013-03-17 19:30:01+00,mains_t03-1,339.26
2013-03-17 19:30:02+00,mains_t03-1,337.77
2013-03-17 19:30:03+00,mains_t03-1,336.26
2013-03-17 19:30:08+00,mains_t03-1,338.39
2013-03-17 19:30:10+00,mains_t03-1,336.34
2013-03-17 19:30:15+00,mains_t03-1,335.12
2013-03-17 19:30:26+00,mains_t03-1,334.25
2013-03-17 19:30:50+00,mains_t03-1,334.38
2013-03-17 19:31:06+00,mains_t03-1,335.72
2013-03-17 19:31:14+00,mains_t03-1,334.91
2013-03-17 19:31:15+00,mains_t03-1,334.06
2013-03-17 19:31:19+00,mains_t03-1,334.55
2013-03-17 19:31:20+00,mains_t03-1,332.33
2013-03-17 19:31:21+00,mains_t03-1,326.5
